variable_code,jotform_qid,task,set,question_type,item_type,question_label_en,question_label_zh,valid_values,correct_answer,data_type,scale_level,termination_stage,termination_type,termination_field,termination_threshold,is_practice,is_scored,notes
NONSYM_Timing - First Click,174,NONSYM,1,timestamp,timing,First click timestamp,第一次點擊時間,ISO8601 datetime,,datetime,interval,,,,0,FALSE,FALSE,Timing: First click in timed section
NONSYM_Timing - Last Click,175,NONSYM,1,timestamp,timing,Last click timestamp,最後點擊時間,ISO8601 datetime,,datetime,interval,,,,0,FALSE,FALSE,Timing: Last click in timed section
NONSYM_Timing - Page Submit,176,NONSYM,1,timestamp,timing,Page submit timestamp,頁面提交時間,ISO8601 datetime,,datetime,interval,,,,0,FALSE,FALSE,Timing: When page was submitted
NONSYM_Timing - Click Count,177,NONSYM,1,numeric,timing,Number of clicks,點擊次數,integer,,numeric,ratio,,,,0,FALSE,FALSE,Timing: Total clicks during task
NONSYM_Q1,178,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q1,邊格有多啲點點？（第1題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q2,179,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q2,邊格有多啲點點？（第2題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q3,180,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q3,邊格有多啲點點？（第3題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q4,181,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q4,邊格有多啲點點？（第4題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q5,182,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q5,邊格有多啲點點？（第5題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q6,183,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q6,邊格有多啲點點？（第6題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q7,184,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q7,邊格有多啲點點？（第7題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q8,185,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q8,邊格有多啲點點？（第8題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q9,186,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q9,邊格有多啲點點？（第9題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q10,187,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q10,邊格有多啲點點？（第10題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q11,188,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q11,邊格有多啲點點？（第11題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q12,189,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q12,邊格有多啲點點？（第12題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q13,190,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q13,邊格有多啲點點？（第13題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q14,191,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q14,邊格有多啲點點？（第14題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q15,192,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q15,邊格有多啲點點？（第15題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q16,193,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q16,邊格有多啲點點？（第16題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q17,194,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q17,邊格有多啲點點？（第17題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q18,195,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q18,邊格有多啲點點？（第18題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q19,196,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q19,邊格有多啲點點？（第19題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q20,197,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q20,邊格有多啲點點？（第20題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q21,198,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q21,邊格有多啲點點？（第21題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q22,199,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q22,邊格有多啲點點？（第22題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q23,200,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q23,邊格有多啲點點？（第23題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q24,201,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q24,邊格有多啲點點？（第24題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q25,202,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q25,邊格有多啲點點？（第25題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q26,203,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q26,邊格有多啲點點？（第26題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q27,204,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q27,邊格有多啲點點？（第27題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q28,205,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q28,邊格有多啲點點？（第28題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q29,206,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q29,邊格有多啲點點？（第29題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q30,207,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q30,邊格有多啲點點？（第30題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q31,208,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q31,邊格有多啲點點？（第31題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q32,209,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q32,邊格有多啲點點？（第32題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q33,210,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q33,邊格有多啲點點？（第33題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q34,211,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q34,邊格有多啲點點？（第34題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q35,212,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q35,邊格有多啲點點？（第35題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q36,213,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q36,邊格有多啲點點？（第36題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q37,214,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q37,邊格有多啲點點？（第37題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q38,215,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q38,邊格有多啲點點？（第38題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q39,216,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q39,邊格有多啲點點？（第39題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q40,217,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q40,邊格有多啲點點？（第40題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q41,218,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q41,邊格有多啲點點？（第41題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q42,219,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q42,邊格有多啲點點？（第42題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q43,220,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q43,邊格有多啲點點？（第43題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q44,221,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q44,邊格有多啲點點？（第44題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q45,222,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q45,邊格有多啲點點？（第45題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q46,223,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q46,邊格有多啲點點？（第46題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q47,224,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q47,邊格有多啲點點？（第47題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q48,225,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q48,邊格有多啲點點？（第48題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q49,226,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q49,邊格有多啲點點？（第49題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q50,227,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q50,邊格有多啲點點？（第50題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q51,228,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q51,邊格有多啲點點？（第51題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q52,229,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q52,邊格有多啲點點？（第52題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q53,230,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q53,邊格有多啲點點？（第53題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q54,231,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q54,邊格有多啲點點？（第54題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q55,232,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q55,邊格有多啲點點？（第55題）,"L,R",L,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
NONSYM_Q56,233,NONSYM,1,image-choice,dot_comparison,Non-symbolic dot comparison Q56,邊格有多啲點點？（第56題）,"L,R",R,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_NS_Date,234,SYM_NS,1,timestamp,metadata,SYM+NONSYM Completion date,符號及非符號數量比較完成日期,ISO8601 datetime,,datetime,,,,,0,FALSE,FALSE,Shared completion timestamp for SYM and NONSYM tasks
SYM_NS_Com,235,SYM_NS,1,completion,metadata,SYM+NONSYM Completion status,符號及非符號數量比較完成狀態,1,,boolean,nominal,,,,0,FALSE,FALSE,Shared completion marker for SYM and NONSYM tasks
ToM_Q1a,239,ToM,1,image-choice,diverse_desires,What do you prefer: carrot or cookie?,你鍾意食咩嘢多啲？係紅蘿蔔定曲奇餅吖？,"紅蘿蔔,曲奇餅",,categorical,nominal,,none,,0,FALSE,FALSE,Diverse Desires: Child's own preference (setup question)
ToM_Q1b,240,ToM,1,image-choice,diverse_desires,What will Siu Ming choose?,而家係茶點時間，小明會揀邊樣呢？揀紅蘿蔔定曲奇餅吖？,"紅蘿蔔,曲奇餅",opposite of Q1a,categorical,nominal,,none,,0,FALSE,TRUE,Diverse Desires: Correct = opposite of child's choice
ToM_Q2a,241,ToM,1,image-choice,diverse_beliefs,Where do you think the cat is?,你覺得小貓喺邊度？喺車房定草叢吖？,"車房,草叢",,categorical,nominal,,none,,0,FALSE,FALSE,Diverse Beliefs: Child's own belief (setup question)
ToM_Q2b,242,ToM,1,image-choice,diverse_beliefs,Where will Siu Lam look for the cat?,而家小琳會去邊度揾小貓呢？去車房定草叢吖？,"車房,草叢",opposite of Q2a,categorical,nominal,,none,,0,FALSE,TRUE,Diverse Beliefs: Correct = opposite of child's choice
ToM_Q3_TEXT,243,ToM,1,text,knowledge_access,What do you think is in the drawer?,你覺得櫃桶入面裝咗啲咩呢？,free text,,text,nominal,,none,,0,FALSE,FALSE,Knowledge Access: Child's initial guess (open-ended)
ToM_Q3a,244,ToM,1,radio_text,knowledge_access,What is in the drawer?,好喇，櫃桶入面有啲咩吖？,"狗仔,其他",狗仔,categorical,nominal,,none,,0,FALSE,TRUE,Knowledge Access: Reality check after reveal
ToM_Q3a_TEXT,245,ToM,1,text,knowledge_access,Other answer for Q3a,其他答案（Q3a）,free text,,text,nominal,,none,,0,FALSE,FALSE,Text field for Q3a other answer
ToM_Q3b,246,ToM,1,radio,knowledge_access,Does Siu Lei know what is in the drawer?,咁小莉知唔知道櫃桶入面有咩吖？,"知道,不知道",不知道,categorical,nominal,,none,,0,FALSE,TRUE,Knowledge Access: Understanding others lack of knowledge
ToM_Q3c,247,ToM,1,radio,knowledge_access,Has Siu Lei looked inside the drawer?,小莉有冇睇過櫃桶入面有啲咩？,"有,沒有",沒有,categorical,nominal,,none,,0,FALSE,TRUE,Knowledge Access: Control question
ToM_Q4a_ins1_TEXT,248,ToM,1,text,contents_false_belief,What do you think is in the bandage box?,你覺得膠布盒入面有啲咩？,free text,,text,nominal,,none,,0,FALSE,FALSE,Contents False Belief: Child's initial guess
ToM_Q4a,249,ToM,1,radio_text,contents_false_belief,What is in the bandage box?,好喇，膠布盒入面有啲咩吖？,"豬仔,其他",豬仔,categorical,nominal,,none,,0,FALSE,TRUE,Contents False Belief: Reality check
ToM_Q4a_TEXT,250,ToM,1,text,contents_false_belief,Other answer for Q4a,其他答案（Q4a）,free text,,text,nominal,,none,,0,FALSE,FALSE,Text field for Q4a other answer
ToM_Q4b,251,ToM,1,radio,contents_false_belief,What will Peter think is in the box?,咁彼得會認爲膠布盒入面裝住啲咩呢？係膠布定豬仔？,"膠布,豬仔",膠布,categorical,nominal,,none,,0,FALSE,TRUE,Contents False Belief: Understanding false belief
ToM_Q4c,252,ToM,1,radio,contents_false_belief,Has Peter looked inside the box?,彼得有冇睇過個盒入面？,"有,沒有",沒有,categorical,nominal,,none,,0,FALSE,TRUE,Contents False Belief: Control question
ToM_Q5a,253,ToM,1,radio,explicit_false_belief,Where will Siu Keung look for his gloves?,咁小強會喺邊揾佢對手套吖？喺書包定衣櫃？,"書包,衣櫃",衣櫃,categorical,nominal,,none,,0,FALSE,TRUE,Explicit False Belief: Location belief vs reality
ToM_Q5b,254,ToM,1,radio,explicit_false_belief,Where are Siu Keungs gloves actually?,小強對手套事實上喺邊呢？喺書包定衣櫃？,"書包,衣櫃",書包,categorical,nominal,,none,,0,FALSE,TRUE,Explicit False Belief: Reality control question
ToM_P1,255,ToM,1,image-choice,practice,Point to happy face,我想你指比我睇邊幅圖片表示開心呢？,"開心,無表情,唔開心",開心,categorical,nominal,,,,0,TRUE,FALSE,Emotion recognition practice - happy
ToM_P2,256,ToM,1,image-choice,practice,Point to unhappy face,邊幅圖片表示唔開心呢？,"開心,無表情,唔開心",唔開心,categorical,nominal,,,,0,TRUE,FALSE,Emotion recognition practice - unhappy
ToM_P3,257,ToM,1,image-choice,practice,Point to neutral face,邊幅圖片表示無表情呢？,"開心,無表情,唔開心",無表情,categorical,nominal,,,,0,TRUE,FALSE,Emotion recognition practice - neutral
ToM_Q6a,258,ToM,1,radio_text,belief_emotion,What is Teddys favorite snack?,泰迪最鍾意嘅零食係咩吖？,"粟米片,其他",粟米片,categorical,nominal,,none,,0,FALSE,TRUE,Belief-Emotion: Memory control question
ToM_Q6a_TEXT,259,ToM,1,text,belief_emotion,Other answer for Q6a,其他答案（Q6a）,free text,,text,nominal,,none,,0,FALSE,FALSE,Text field for Q6a other answer
ToM_Q6b,260,ToM,1,image-choice,belief_emotion,How will Teddy feel receiving the box?,泰迪收到個盒會覺得點吖？開心、無表情、定唔開心？,"開心,無表情,唔開心",開心,categorical,nominal,,none,,0,FALSE,TRUE,Belief-Emotion: Emotion based on false belief
ToM_Q6c,261,ToM,1,image-choice,belief_emotion,How will Teddy feel after opening the box?,泰迪打開個盒睇完之後會覺得點吖？,"開心,無表情,唔開心",唔開心,categorical,nominal,,none,,0,FALSE,TRUE,Belief-Emotion: Emotion after reality revealed
ToM_Q7a,262,ToM,1,radio_text,real_apparent_emotion,What did other children do when joke was told?,其他小朋友聽到呢個笑話有咩反應？,"好搞笑,其他",好搞笑,categorical,nominal,,none,,0,FALSE,TRUE,Real-Apparent Emotion: Memory control question
ToM_Q7a_TEXT,263,ToM,1,text,real_apparent_emotion,Other answer for Q7a,其他答案（Q7a）,free text,,text,nominal,,none,,0,FALSE,FALSE,Text field for Q7a other answer
ToM_Q7b,264,ToM,1,radio_text,real_apparent_emotion,What would others do if they knew Siu Kwongs feelings?,如果其他人知道小光嘅感受會點樣？,"話小光成個bb咁,其他",話小光成個bb咁,categorical,nominal,,none,,0,FALSE,TRUE,Real-Apparent Emotion: Memory control question
ToM_Q7b_TEXT,265,ToM,1,text,real_apparent_emotion,Other answer for Q7b,其他答案（Q7b）,free text,,text,nominal,,none,,0,FALSE,FALSE,Text field for Q7b other answer
ToM_Q7c,266,ToM,1,image-choice,real_apparent_emotion,How does Siu Kwong really feel?,小光內心實際覺得點吖？,"開心,無表情,唔開心",唔開心,categorical,nominal,,none,,0,FALSE,TRUE,Real-Apparent Emotion: True internal feeling
ToM_Q7d,267,ToM,1,image-choice,real_apparent_emotion,What expression does Siu Kwong try to show?,小光想比其他人見到佢嘅表情係點？,"開心,無表情,唔開心",開心,categorical,nominal,,none,,0,FALSE,TRUE,Real-Apparent Emotion: Displayed expression
ToM_Date,268,ToM,1,timestamp,metadata,Completion date,完成日期,ISO8601 datetime,,datetime,,,,,0,FALSE,FALSE,Auto-recorded completion timestamp
ToM_Score_TEXT,269,ToM,1,text,score,Score notes,評分備註,free text,,text,nominal,,,,0,FALSE,FALSE,Administrator notes on scoring
ToM_Com,270,ToM,1,completion,metadata,Completion status,完成狀態,1,,boolean,nominal,,,,0,FALSE,FALSE,Task completion marker
TOM_PreChoice,271,ToM,1,system,metadata,Previous choice tracking,上一個選擇追蹤,varies,,text,nominal,,,,0,FALSE,FALSE,System field for branching logic
TOM_CurChoice,272,ToM,1,system,metadata,Current choice tracking,當前選擇追蹤,varies,,text,nominal,,,,0,FALSE,FALSE,System field for branching logic
TOM_Score,273,ToM,1,calculated,score,Total ToM score,心智理論總分,0-14,,numeric,ratio,,,,0,FALSE,FALSE,Sum of correct scored items
CWR_Q1,274,CWR,2,radio,word_reading,Chinese character: 山,山,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading - consecutive 10 incorrect terminates
CWR_Q2,275,CWR,2,radio,word_reading,Chinese character: 牛,牛,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q3,276,CWR,2,radio,word_reading,Chinese character: 花,花,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q4,277,CWR,2,radio,word_reading,Chinese character: 車,車,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q5,278,CWR,2,radio,word_reading,Chinese character: 水,水,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q6,279,CWR,2,radio,word_reading,Chinese character: 爸,爸,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q7,280,CWR,2,radio,word_reading,Chinese character: 哥,哥,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q8,281,CWR,2,radio,word_reading,Chinese character: 色,色,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q9,282,CWR,2,radio,word_reading,Chinese character: 風,風,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q10,283,CWR,2,radio,word_reading,Chinese character: 早,早,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q11,284,CWR,2,radio,word_reading,Chinese character: 生,生,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q12,285,CWR,2,radio,word_reading,Chinese character: 狗,狗,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q13,286,CWR,2,radio,word_reading,Chinese character: 媽,媽,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q14,287,CWR,2,radio,word_reading,Chinese character: 手,手,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q15,288,CWR,2,radio,word_reading,Chinese character: 秋,秋,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q16,289,CWR,2,radio,word_reading,Chinese character: 我,我,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q17,290,CWR,2,radio,word_reading,Chinese character: 樹,樹,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q18,291,CWR,2,radio,word_reading,Chinese character: 球,球,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q19,292,CWR,2,radio,word_reading,Chinese character: 藍,藍,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q20,293,CWR,2,radio,word_reading,Chinese character: 好,好,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q21,294,CWR,2,radio,word_reading,Chinese character: 兒,兒,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q22,295,CWR,2,radio,word_reading,Chinese character: 飛,飛,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q23,296,CWR,2,radio,word_reading,Chinese character: 多,多,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q24,297,CWR,2,radio,word_reading,Chinese character: 快,快,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q25,298,CWR,2,radio,word_reading,Chinese character: 個,個,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q26,299,CWR,2,radio,word_reading,Chinese character: 的,的,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q27,300,CWR,2,radio,word_reading,Chinese character: 蕉,蕉,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q28,301,CWR,2,radio,word_reading,Chinese character: 去,去,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q29,302,CWR,2,radio,word_reading,Chinese character: 在,在,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q30,303,CWR,2,radio,word_reading,Chinese character: 說,說,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Single character reading
CWR_Q31,304,CWR,2,radio,word_reading,Chinese word: 香港,香港,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Word reading - both characters must be correct
CWR_Q32,305,CWR,2,radio,word_reading,Chinese word: 市場,市場,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Word reading
CWR_Q33,306,CWR,2,radio,word_reading,Chinese word: 新年,新年,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Word reading
CWR_Q34,307,CWR,2,radio,word_reading,Chinese word: 星期,星期,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Word reading
CWR_Q35,308,CWR,2,radio,word_reading,Chinese word: 耳朵,耳朵,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Word reading
CWR_Q36,309,CWR,2,radio,word_reading,Chinese word: 中午,中午,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Word reading
CWR_Q37,310,CWR,2,radio,word_reading,Chinese word: 眼睛,眼睛,"Y,N",Y,categorical,nominal,,consecutive,CWR_10Incorrect,10,FALSE,TRUE,Word reading
